1.000181957963312968e-01,1.000140339980453152e-01,2.074071486233012518e+00,1.001345174405871147e-01,1.073673756562396164e+01,1.000098932758708703e-01,1.877855824444764732e+00,1.000091328953975345e-01,1.000142727624966088e-01,1.106559527367919316e+01,7.050189305594089184e+00,1.000298901952400288e-01,1.000871052640079223e-01,2.733411457837586056e+01,1.000264428403543765e-01,1.000402539651872452e-01,1.000075759540295234e-01,1.000110026618526715e-01,1.067378400642305003e+01,1.000283402863137439e-01,1.000151618862075570e-01,2.735285403972595120e+00,1.000275767463362220e-01,1.001986139486044369e-01,1.000214133040278064e-01,1.000128425187897518e-01,2.154256117025252948e+01,1.000349440513425420e-01,3.346369093985568810e+00,1.000086928815315385e-01,2.347896873762055137e+00,1.499162645953931516e+01,8.929180906080485158e+01,2.348910406731408163e+00,1.000094368626682911e-01,9.725817936072559178e+00,1.444859473709727338e+00,1.000052041047231333e-01,1.000252549861220669e-01,1.000357881077111044e-01,1.000144758639541359e-01,1.000264068615184521e-01,1.152322739435966348e+01,1.850113333734000065e+01,1.000110603944794480e-01,3.798119871584931140e+00,1.000291643577872897e-01,7.825944715156486708e+00,3.817231360318521283e+00,1.145952707824320349e+00
5.080349140734334412e+00,1.946093097827412777e+01,1.000689278201771781e-01,1.000245587006869524e-01,5.790572467975738213e+00,1.000297211745858617e-01,2.563985583239075439e+01,2.129328521687770959e+01,2.912835464067593705e+01,1.000691175699711805e-01,1.000180601416309212e-01,1.001358071456270732e-01,1.000184066412296291e-01,1.000117292955565312e-01,8.267457074163894859e+00,1.000790722448955117e-01,4.164859348192054966e+01,6.080451254306919395e+01,1.000119659554510460e-01,1.000193414061495423e-01,1.000177469668214053e-01,1.000188121983595912e-01,1.000374707493152243e-01,1.000288411345625628e-01,1.000826462455380872e-01,1.000618787254495407e-01,2.052131656572064244e+01,1.000422447409297921e-01,1.000281850604545913e-01,1.000187077302648470e-01,1.000241615241614923e-01,1.000152528119748335e-01,1.000371127252142195e-01,1.000281226962962677e-01,2.420602056615332565e+00,1.063428207402400538e+01,1.000369744150527151e-01,2.811551963985172709e+00,1.000233149747816602e-01,1.000157497511760252e-01,1.000194963732788100e-01,2.020284784118756338e+00,1.499384218928296519e+01,1.002231644153381007e-01,1.000314798089069895e-01,1.000305212115921716e-01,1.000406928353217567e-01,1.000320164826818126e-01,1.000256270722312407e-01,2.082802061425248930e+00
1.000100373599714376e-01,5.537734039187138357e+00,1.000411573663197995e-01,1.000233096924089821e-01,1.765301011737626657e+00,1.000129783697531888e-01,1.000155793535561499e-01,1.000100993968904978e-01,9.659928739646060691e+00,1.811562824910413738e+01,1.896414601610342032e+00,1.000367950227915304e-01,3.237420941636311511e+01,1.000294950201594951e-01,1.000131057902062109e-01,1.000205429514066380e-01,1.000265739638275808e-01,1.000103809730293752e-01,2.684370920335413135e+00,2.812605159936013166e+01,2.115692841535117452e+01,1.000055105925097970e-01,1.815680607645401512e+00,1.000333041980019655e-01,1.000151582316056026e-01,2.017692736395889597e+01,1.055764500882706969e+01,3.594899008230876802e+01,1.000931244512129198e-01,5.107618836749756142e+00,1.788753010526831844e+01,1.000308075007683151e-01,1.000336350150509840e-01,2.155694467006908610e+01,1.000053988342085448e-01,1.378545613064507691e+01,1.000152114589058366e-01,2.162078406728926705e+00,1.000349149482985672e-01,1.000172586639446748e-01,1.000104554809610469e-01,1.000137486799839437e-01,1.000315904494916419e-01,5.024101248255528951e+00,1.000522797132179925e-01,1.659700296851882140e+00,1.000285095380601119e-01,1.000648873086531915e-01,1.000178407784485107e-01,1.000065588925087290e-01
1.000287574753525865e-01,1.000400418378063067e-01,1.000253881893119479e-01,1.000225116568412009e-01,7.005006252175136616e+00,4.475215853378942121e+00,9.263276357781093040e+00,3.774084574086495447e+00,8.644130715190646796e+00,1.000373793807636524e-01,5.004211691911984339e+00,3.989495386899459817e+00,2.688978166500681510e+01,3.229968390430987935e+00,1.524805598905622439e+01,1.234685263452110426e+01,1.001776962489421552e-01,3.099590405194321008e+01,1.000244561340711408e-01,1.000713163940159384e-01,1.707878939752522029e+00,1.000372345594747608e-01,1.000353962287449383e-01,1.000273576554452232e-01,8.432310782888158940e+00,1.000323735568649647e-01,1.000295392237370018e-01,2.360502601631494279e+00,1.000711618245442996e-01,1.000381792348620236e-01,2.725986326456119713e+00,2.176394749752251112e+00,1.000164212578017742e-01,1.000270499393777907e-01,1.000239984498921958e-01,1.000114791306822432e-01,1.000335069341424660e-01,1.679401752056424613e+00,7.840707005086227532e+00,1.000497134854908682e-01,3.710113590765164560e+00,4.353800842445353148e+00,2.038012594137570943e+01,9.699055505601844374e+00,5.993409892051886345e+00,1.000760399364886838e-01,1.000207960926803447e-01,1.000120023243112333e-01,7.573313124943851449e+00,1.000455856592395859e-01
1.001508186607772966e-01,1.000180767505683271e-01,1.000424751377920612e-01,4.541402518075898342e+00,1.000406290905515999e-01,1.000362387906473666e-01,1.000468363706085856e-01,1.000550053602088790e-01,1.000696855339333335e-01,1.846708890643664347e+01,1.000868438338587546e-01,1.000106926297437415e-01,1.000316361598152931e-01,1.000156087247825593e-01,1.000346088918971643e-01,1.000270157451618319e-01,1.000084297917706172e-01,1.000196543343206262e-01,1.000288225676234377e-01,1.000233368534478584e-01,1.000150974677852522e-01,7.359731550798364053e-01,1.000078409731037926e-01,1.000465702704873144e-01,1.000479099698917823e-01,1.000228335214852909e-01,1.000410597139874402e-01,1.000278437861291114e-01,1.000394518627807511e-01,1.000411436179582808e-01,1.000117820895456838e-01,1.272115420456375467e+01,2.456012765001628129e+00,1.000251633264302997e-01,1.000342154902038871e-01,1.000940975730574833e-01,4.537892550420079552e+00,1.000104531938200009e-01,4.424410707441609247e+00,1.000225499930132017e-01,1.000206235334575172e-01,1.002908190544314349e-01,1.000645152918559627e-01,8.107628584585793163e+00,7.880720617395912342e+00,3.125993522494130872e+00,1.000409583377345063e-01,1.000348109384331940e-01,1.000223068169887458e-01,1.000140064546224117e-01
1.000253114263396637e-01,9.785592939686534208e+00,1.000320735890780632e-01,1.306618638044589353e+01,7.162231012021942789e+00,2.304674464843945003e+01,2.070509110896916738e+01,1.292655647842726374e+01,5.529914431895104343e+00,7.517639531587545498e+00,1.582386207784581389e+00,1.000359911150672798e-01,1.000253319950965974e-01,1.000279506984639855e-01,1.000298920877185083e-01,1.000147101712540454e-01,1.000237404265574281e-01,1.385948813604042300e+02,1.000330123672222987e-01,1.000274904968100342e-01,1.000189532477539361e-01,1.645657413100576960e+01,1.000305493542409524e-01,1.145762379660169294e+01,1.234301952298949345e+01,1.000229990539015373e-01,1.000222292208482466e-01,1.841333475862107161e+00,1.473524412259644478e+01,1.000271301604888224e-01,2.943894954673070607e+00,1.000254810704885311e-01,1.000197288605758350e-01,2.954673603449764130e+01,9.185220485928505596e+00,1.000142929647621776e-01,1.000212302853461382e-01,2.106212390433733095e+00,2.682669478433415300e+00,1.000343390846428482e-01,1.302913233816510541e+01,3.050008945520314541e+01,1.000102057996776622e-01,6.124143699039623634e+00,1.000237682735448663e-01,1.000080965971759800e-01,1.504337953611395129e+01,1.000362871003983023e-01,1.558690344934761463e+01,1.000082339994707997e-01
1.000143603333655956e-01,1.000215845908010853e-01,1.000218119305254921e-01,1.629074259110415701e+00,1.000400689662389181e-01,1.385541471653877643e+00,1.000170008753075851e-01,1.000339323690923599e-01,5.727798836464954135e+00,1.000347256101935534e-01,1.000117556887710202e-01,1.000111247470085868e-01,1.849915770825666828e+00,1.000131312530438965e-01,1.000096377757022648e-01,1.000196488828131725e-01,1.000389363909051921e-01,1.000206797549633986e-01,3.170270972959393774e+01,1.000219101323173015e-01,1.000099332045789186e-01,1.000078505559352099e-01,9.414046733427611002e+00,1.000152423091947157e-01,6.663785267487375208e+00,1.000365843176702629e-01,1.000160176455179434e-01,1.000186249324373500e-01,1.963411340678116446e+01,1.000433361609612271e-01,1.000217112831801175e-01,8.161164655431690562e+00,1.000152183371169484e-01,1.000817017715983082e-01,3.269667870858396697e+01,9.131568535871567249e+00,1.000319134631466184e-01,1.945873550870708257e+01,1.000129705911693562e-01,1.000242697067644931e-01,1.000139153852331320e-01,1.000219594807611884e-01,1.000166292252036709e-01,1.000156821837924759e-01,1.000169930545178193e-01,1.007231858473985608e-01,2.084333680859371540e+01,1.000215376045003879e-01,1.000112741085364687e-01,1.000234469967169054e-01
1.000602943644322423e-01,1.294561278015263284e+01,1.000223959378296334e-01,1.906711407764273503e+00,1.000102684877517828e-01,1.000342363469654827e-01,1.000236060712427766e-01,1.000115017202718032e-01,1.000152826254466082e-01,1.000261352768472695e-01,1.000008546718016561e-01,1.000148822003479876e-01,7.494343344892910430e+00,1.000549751460308029e-01,1.000397540110360972e-01,1.000771470593949247e-01,1.000260989215799867e-01,1.000142982598829361e-01,1.000000000357445795e-01,1.000041222084068759e-01,9.094152464566393590e+00,1.009458918797256355e-01,1.000325000466671249e-01,1.000191449115155895e-01,1.000429847993259680e-01,1.000034636080927575e-01,1.000501174740082849e-01,1.000419054862991958e-01,1.000065922950773151e-01,1.000330134347824085e-01,1.938256056808926076e+01,1.000035255613322127e-01,1.000031115958842642e-01,1.000257479344027062e-01,1.000538009289005936e-01,1.000077876331095378e-01,1.000506180473385437e-01,1.000213561447432370e-01,1.000224012242711680e-01,1.000081805866425005e-01,1.000092514715376357e-01,1.000138771450287400e-01,1.000213349509255362e-01,1.391392850092064926e+00,1.000011910840440110e-01,1.000045550400412292e-01,3.483227953850014380e+00,1.000105508605521609e-01,1.001021856686587636e-01,1.000276874345301104e-01
1.000113353435687080e-01,4.098630059994100350e+00,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000143044749392529e-01,1.000128558899026493e-01,1.000000000000000056e-01,1.000082818469007068e-01,1.000000000000000056e-01,1.001885905134245885e-01,1.000565530253342550e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.001707811202316722e-01,1.000000000000000056e-01,1.003138424580225785e-01,1.001363895825012063e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000583071357845910e-01,3.099291018994735580e+00,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000186288972067378e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000126940239808582e-01,1.000267271438707306e-01,1.000971214607780935e-01,1.000000000000000056e-01,1.000041868277602580e-01,1.000280030845462909e-01,1.002363201142054405e-01,1.000225509993920014e-01,1.000000000000000056e-01,1.000705888382306674e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.003137305569845039e-01,1.000000000000000056e-01,1.000801869087327156e-01,1.001656135181829832e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000031054931295321e-01,1.000000000000000056e-01,1.000250565306150669e-01,1.000031652229375484e-01
1.000210957275224355e-01,1.000061677411766964e-01,1.000195873850012879e-01,1.000170157918789937e-01,1.268616841025499653e+00,7.996833539062082608e+00,1.000459055191907920e-01,1.000133193548102400e-01,1.000141682260453913e-01,1.000332939251536574e-01,1.000912919848087890e-01,2.420850246452149523e+00,1.000388079060511998e-01,1.000277957113675370e-01,1.000289425894794193e-01,1.000218710179404669e-01,1.001102922946092572e-01,1.000494175094865240e-01,1.000207912779752933e-01,1.000199943008080183e-01,1.000597744235713071e-01,1.095550489043196585e+01,1.000261838912916146e-01,8.043309524570432245e+00,1.000331740209367826e-01,1.213241378916663216e+01,1.000186011980866707e-01,1.000183412802489596e-01,1.000079038761962913e-01,1.000257409797146030e-01,1.000524844072775837e-01,1.000371381161725692e-01,2.161352770733785889e+01,1.000176465398926878e-01,1.000177792836703106e-01,3.811027974971783472e+00,1.644972043914863846e+01,1.000173347864302259e-01,1.000378040670200225e-01,1.000204733033563526e-01,2.639506088147986151e+00,1.000072514404040519e-01,1.000175640300888097e-01,1.000465100095739857e-01,1.000244758900160902e-01,1.000242874086181150e-01,4.092096100558444860e+00,1.000039100639677908e-01,2.392849057932462742e+01,1.947008142522063334e+00
