	문서번호	문장번호	수집일	채널	문장	URL	회사명	연관어
8592	DN000000010664532249_1	DN000000010664532249	20230110	언론	"롯데마트, 종이 전단지 없앤다…모바일 전단으로 대체\n롯데마트 모바일 전단 운영 안내 포스터   
롯데마트가 친환경 경영 일환으로 25년 만에 종이 전단 운영을 전면 중단한다."	https://v.daum.net/v/20230110115105142	롯데쇼핑	친환경,경영,종이,중단
8593	DN000000010664536373_1	DN000000010664536373	20230110	언론	"롯데마트, 종이 전단지 없앤다…모바일 전단으로 대체\n롯데마트 모바일 전단 운영 안내 포스터
 롯데마트가 친환경 경영 일환으로 25년 만에 종이 전단 운영을 전면 중단한다."	http://news.zum.com/articles/80629400	롯데쇼핑	친환경,경영,종이,중단
8594	DN000000010665150210_1	DN000000010665150210	20230110	언론	"롯데마트, 종이 전단지 없앤다…'모바일 전단'으로 대체\n[사진출처=롯데마트]

[오늘경제 = 김은혜 기자]


롯데마트가 친환경 경영 일환으로 25년 만에 종이 전단 운영을 전면 중단한다."	http://www.startuptoday.co.kr/news/articleView.html?idxno=119578	롯데쇼핑	친환경,경영,종이,중단
8595	DN000000010665305926_1	DN000000010665305926	20230110	언론	롯데마트, 종이 전단 운영 전면 중단…친환경 경영 앞장선다\n[스마트에프엔=홍선혜 기자] 롯데마트는 25년만에 종이 전단 운영을 전면 중단한다고 10일 밝혔다.	https://www.smartfn.co.kr/article/view/sfn202301100063	롯데쇼핑	친환경,경영,종이,중단
8596	DN000000010665311959_1	DN000000010665311959	20230110	언론	"롯데마트, 25년만에 종이전단 없애고 연간 나무 3천그루 살린다\n모바일전단 운영 안내 포스터ㅣ롯데마트



롯데마트가 25년만에 종이 전단 운영을 전면 중단하고 지구를 위한 녹색 매장 구현에 앞장선다


롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다."	http://www.biztribune.co.kr/news/articleView.html?idxno=273157	롯데쇼핑	친환경,경영,종이,중단
8597	DN000000010665322214_8	DN000000010665322214	20230110	언론	"▲롯데마트 모바일 전단 운영 안내 포스터
  
◇ 롯데마트, 25년 만에 종이 전단지 운영 중단 

롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다."	http://www.ekn.kr/web/view.php?key=20230110010002214	롯데쇼핑	친환경,경영,종이,중단
8598	DN000000010665417978_1	DN000000010665417978	20230110	언론	"롯데마트, 종이 전단 운영 중단…""친환경 경영 앞장""\n[이프레시뉴스] 롯데마트는 25년만에 종이 전단 운영을 전면 중단한다고 10일 밝혔다."	http://www.newsfs.com/news/articleView.html?idxno=33930	롯데쇼핑	친환경,경영,종이,중단
8599	DN000000010664136401_1	DN000000010664136401	20230110	언론	"[생활경제 이슈] 롯데마트, 친환경 경영 일환으로 1회용 종이 전단 운영 전면 중단 外\n[로이슈 편도욱 기자]  



◆롯데마트, 친환경 경영 일환으로 1회용 종이 전단 운영 전면 중단

롯데마트가 25년만에 종이 전단 운영을 전면 중단하고 지구를 위한 녹색 매장 구현에 앞장선다

롯데마트 관계자는 ""대형마트에서 종이 전단은 매주 행사를 알리는 가장 중요한 홍보 수단 중 하나로 여겨져 왔다""라며 ""그러나 1회용 종이 전단은 쇼핑 시 한 번 보고 버려지게 되는 것은 물론 지난 전단은 전량 폐기된다는 점에서 자원 낭비를 야기한다는 문제도 가지고 있다""라고 말했다."	https://www.lawissue.co.kr/view.php?ud=202301100903144805204ead0791_12	롯데쇼핑	친환경,경영,종이,자원,중단
8600	DN000000010665259257_1	DN000000010665259257	20230110	언론	"새해 벽두 ‘친환경’ 꽂힌 유통가…스티로폼 빼고 종이 전단 없애고\n▲롯데마트 모바일 전단 운영 안내 포스터. (사진제공=롯데쇼핑)
유통업계가 새해 벽두부터 환경·사회·지배구조(ESG), 친환경 경영의 일환으로 종이 전단을 없애고 선물세트에 들어가는 스티로폼을 종이로 대체하는 등 각종 실천 행동에 나서고 있다."	http://www.etoday.co.kr/news/flashnews/flash_view?idxno=2211241	롯데쇼핑	친환경,경영,종이,사회,지배구조,환경
8601	DN000000010665277125_1	DN000000010665277125	20230110	언론	"새해 벽두 ‘친환경’ 꽂힌 유통가…스티로폼 빼고 종이 전단 없애고\n롯데마트 모바일 전단 운영 안내 포스터.
  유통업계가 새해 벽두부터 환경·사회·지배구조(ESG), 친환경 경영의 일환으로 종이 전단을 없애고 선물세트에 들어가는 스티로폼을 종이로 대체하는 등 각종 실천 행동에 나서고 있다."	http://news.zum.com/articles/80636734	롯데쇼핑	친환경,경영,종이,사회,지배구조,환경
8602	DN000000010665287183_1	DN000000010665287183	20230110	언론	"새해 벽두 '친환경' 꽂힌 유통가…스티로폼 빼고 종이 전단 없애고\n[이투데이/조남호 기자]
롯데마트 모바일 전단 운영 안내 포스터.(사진제공=롯데쇼핑)

유통업계가 새해 벽두부터 환경·사회·지배구조(ESG), 친환경 경영의 일환으로 종이 전단을 없애고 선물세트에 들어가는 스티로폼을 종이로 대체하는 등 각종 실천 행동에 나서고 있다."	http://news.nate.com/view/20230110n25792?mid=n0100	롯데쇼핑	친환경,경영,종이,사회,지배구조,환경
8603	CF000000010665132029_11	CF000000010665132029	20230110	카페	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다.	https://cafe.naver.com/haesuncity/6621	롯데쇼핑	친환경,경영,종이
8604	CF000000010665148883_1	CF000000010665148883	20230110	카페	"'지구를 살리는 모바일전단'\n

롯데마트가 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다."	https://cafe.naver.com/haesuncity/6629	롯데쇼핑	친환경,경영,종이
8605	DN000000010663835315_4	DN000000010663835315	20230110	언론	이에 롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다.	https://newsis.com/view?id=NISX20230109_0002153023	롯데쇼핑	친환경,경영,종이
8606	DN000000010663836602_3	DN000000010663836602	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영하기 시작했다.	https://n.news.naver.com/mnews/article/421/0006567206?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,경영,종이
8617	DN000000010663863761_2	DN000000010663863761	20230110	언론	롯데마트는 친환경 경영의 일환으로 새해부터 1회용 종이 전단을 대신해 새롭게 개편된 모바일 전단을 운영한다고 오늘(10일) 밝혔습니다.	https://n.news.naver.com/mnews/article/374/0000317902?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,경영,종이
